id,alt_name,base_name,alt_address,base_address,city,state,alt_category,base_category,alt_confidence,base_confidence,sample_type,label,reason
08f27022da661146031df2517711075f,Bitcoin Depot,Bitcoin Depot - Bitcoin ATM,1021 McGregor St,1021 McGregor St,Winnipeg,MB,atms,Business and Professional Services > Financial Service > Banking and Finance > ATM,0.9877528662420382,1.0,conflict,"",""
08fa8f079c5740c003cee9234f02d70e,Rei do Pão D' Queijo,Rei do Pao d'Queijo,"Rua Gerson Coutinho, 475","Rua Gerson Coutinho da Silva, 529 lj 2",Coromandel,MG,diner,Dining and Drinking > Restaurant,0.6214335421016005,1.0,conflict,"",""
08f28d0b558a8c92033225a311e5fe0b,Coinstar Kiosk - Bitcoin ATM,Coinstar,"7601 Evergreen Way, Safeway",7601 Evergreen Way,Everett,WA,money_transfer_services,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.77,1.0,conflict,"",""
08f1ea61020d682003a74eb34f0f6591,BLL Immagine e Creativita,Bll - Immagine e Creatività,"Borgo Claudio Merulo, 1","Borgo Merulo, 1",Parma,45,advertising_agency,Business and Professional Services > Advertising Agency,0.9445655559015883,1.0,conflict,"",""
08f2aac958c59b1b03fcabb8e82f50cf,"Scott J Morris, DMD",Scott J Morris Family Practice,1719 W Main St,1719 W Main St,West Norriton Twp,PA,dentist,cosmetic_dentist,0.9962614185921548,0.77,conflict,"",""
08f4994ade868848033e46afab040419,Smart Fit México,Smart Fit,Calzada Zavaleta 50,Plazavaleta,Puebla,,gym,Sports and Recreation > Gym and Studio,0.9837452982267598,1.0,conflict,"",""
08f195298a4d535e03bd605f0963b4a7,Doggie Barbershop Comber,Doggie Barber Shop Comber,99 Belfast Road,91 Belfast Rd,Newtownards,NIR,pet_groomer,Business and Professional Services > Pet Service > Pet Grooming Service,0.9645127118644068,1.0,conflict,"",""
08f1969c9b6648a603bcbfe76a19c00c,Dance4Life,Dance 4 Life,Keizersgracht 177,Spuistraat 239,Amsterdam,NH,community_services_non_profits,Community and Government > Organization > Non-Profit Organization,0.9142857142857143,1.0,conflict,"",""
08f194ada05a3a6003b9a28bab309ec8,Kip McGrath Hammersmith,Kip McGrath,165 King Street,165 King St 1st Floor,London,ENG,tutoring_center,Community and Government > Education > Private School,0.9962614185921548,1.0,conflict,"",""
08f1eb1929c8604503e5996883859eec,Service Neon,Service Neon di Cateni Riccardo,"Via Cava, 257",Via della Cava 257,Rosignano Solvay,LI,building_supply_store,,0.77,1.0,conflict,"",""
