agreement_type,id,alt_primary,base_primary,alt_names_json,base_names_json,alt_address,base_address,city,state,alt_confidence,base_confidence
full_agreement,08f2b9bc466424e403ff1e1ca190b31f,Toronto MatchMaker | MatchMaking Services | Mutual Match,Toronto MatchMaker | MatchMaking Services | Mutual Match,"{""primary"":""Toronto MatchMaker | MatchMaking Services | Mutual Match""}","{""primary"":""Toronto MatchMaker | MatchMaking Services | Mutual Match""}",401 Queens Quay Suite 605,401 Queens Quay Suite 605,Toronto,ON,0.77,0.77
full_agreement,08f2b9bc54d8439903ae93a7071ef1ca,241 Pizza,241 Pizza,"{""primary"":""241 Pizza""}","{""primary"":""241 Pizza""}",1383 Davenport Rd,1383 Davenport Road,Toronto,ON,0.9918379237288135,0.77
full_agreement,08f2b9d752c54da5033d44afbbf11093,Infinite Martial Arts & Fitness,Infinite Martial Arts & Fitness,"{""primary"":""Infinite Martial Arts & Fitness""}","{""primary"":""Infinite Martial Arts & Fitness""}",315 Bell Blvd,315 Bell Blvd,Belleville,ON,0.9962614185921548,0.77
full_agreement,08f2baa449036a0a03401274610ccf4b,Pharmaprix,Pharmaprix,"{""primary"":""Pharmaprix""}","{""primary"":""Pharmaprix""}",5987 Rue de Verdun,5987 Avenue De Verdun,Montréal,QC,0.9918379237288135,0.77
full_agreement,08f2bac56ac36a63033821729e93f73e,Restaurant Normandin St-Anselme,Restaurant Normandin St-Anselme,"{""primary"":""Restaurant Normandin St-Anselme""}","{""primary"":""Restaurant Normandin St-Anselme""}",679 Route Bégin,679 Route Bégin,St-Anselme,QC,0.9918379237288135,0.77
full_agreement,08f2e610552c258d030ff9e70f06fa32,カメラのナニワ 心斎橋プリント工房,カメラのナニワ 心斎橋プリント工房,"{""primary"":""カメラのナニワ 心斎橋プリント工房""}","{""primary"":""カメラのナニワ 心斎橋プリント工房""}","大阪市中央区, 心斎橋筋1丁目3-12 2号館1階","大阪市中央区, 心斎橋筋1丁目3-12 2号館1階",,大阪府,0.77,0.77
full_agreement,08f344cd2aca0481032c090f1adc9a67,Publexcan,Publexcan,"{""primary"":""Publexcan""}","{""primary"":""Publexcan""}","Calle Girasol, 13",Calle Girasol 15,Santa Cruz de Tenerife,CN,0.9877528662420382,0.77
full_agreement,08f346b4c0ba9a09031e787eead63fa7,Clínica Veterinaria Los Galgos,Clínica Veterinaria Los Galgos,"{""primary"":""Clínica Veterinaria Los Galgos""}","{""primary"":""Clínica Veterinaria Los Galgos""}","Calle Sor Simona, 57",Calle Sor Simona 57,Las Palmas de Gran Canaria,,0.9962614185921548,0.77
full_agreement,08f390cb1b0299600315ab63c5069be6,Rituals,Rituals,"{""primary"":""Rituals""}","{""primary"":""Rituals""}","Calle de Fuencarral, 22",Calle de Fuencarral 22,Madrid,,0.9918379237288135,0.77
full_agreement,08f390cb1b4015a203636d915a9d5abe,Restaurante Casa Paco,Restaurante Casa Paco,"{""primary"":""Restaurante Casa Paco""}","{""primary"":""Restaurante Casa Paco""}","Plaza de Puerta Cerrada, 11","Plaza de Prta. Cerrada, 11, Bajo",Madrid,,0.9962614185921548,0.77
full_agreement,08f39220f1cd61b6030e5182e10990e2,Casual Raizes Porto,Casual Raizes Porto,"{""primary"":""Casual Raizes Porto""}","{""primary"":""Casual Raizes Porto""}",Rua de Santa Catarina 615,"Rua de Santa Catarina, 615",Porto,,0.9962614185921548,0.77
full_agreement,08f392a846b9ead903aeffd974246bd5,El Carmen Tanatorio Crematorio,El Carmen Tanatorio Crematorio,"{""primary"":""El Carmen Tanatorio Crematorio""}","{""primary"":""El Carmen Tanatorio Crematorio""}","Calle Labradores, 4","Calle de Labradores, 4, LOCAL",Medina del Campo,,0.9877528662420382,0.77
full_agreement,08f392ada2d63b50039e5e6688c12a4e,Instituto Del Comportamiento,Instituto Del Comportamiento,"{""primary"":""Instituto Del Comportamiento""}","{""primary"":""Instituto Del Comportamiento""}","Calle San Vicente Ferrer, 7","Calle San Vicente Ferrer, 7, 1º PUERTA 1",Salamanca,,0.9877528662420382,0.77
full_agreement,08f392c926cf25110338549a6c0f5b05,Alcampo Supermercado,Alcampo Supermercado,"{""primary"":""Alcampo Supermercado""}","{""primary"":""Alcampo Supermercado""}","Calle Gil de Jaz, 9",Plaza de América nº 2,Oviedo,,0.9962614185921548,0.77
full_agreement,08f392d880d830180310e07d614710a5,Albergue y Parque de Ocio Cabuerniaventura,Albergue y Parque de Ocio Cabuerniaventura,"{""primary"":""Albergue y Parque de Ocio Cabuerniaventura""}","{""primary"":""Albergue y Parque de Ocio Cabuerniaventura""}","Barrio Lamiña, 34","Carretera de Barcenillas a, Barrio Lamiña",Ruente,,0.9962614185921548,0.77
full_agreement,08f392ea0d4ea8da03cde6ad03c0fe74,Lupa Supermercados,Lupa Supermercados,"{""primary"":""Lupa Supermercados""}","{""primary"":""Lupa Supermercados""}","Avda. Obispo Panduro y Villafañe, 39","Avda. Obispo Panduro y Villafañe, 39",Valderas,León,0.77,0.77
full_agreement,08f3950d1d5a6bae03a09c30bbb17406,BP,BP,"{""primary"":""BP""}","{""primary"":""BP""}",Avenida de Oliva,"Avenida de Oliva S/n, Pego",Alicante,,0.9872500778573653,0.77
full_agreement,08f395639b45db4d037334ee65a252c9,Hotel Eurostars Mediterranea Plaza,Hotel Eurostars Mediterranea Plaza,"{""primary"":""Hotel Eurostars Mediterranea Plaza""}","{""primary"":""Hotel Eurostars Mediterranea Plaza""}","Plaça de l'Ajuntament, 6","Plaza del Ayuntamiento, 6",Alacant,,0.9962614185921548,0.77
full_agreement,08f42c28e6d9658c03ffd85b2292fe54,Dr. Asmit Mansukhlal Kanasagara- General Practitioner,Dr. Asmit Mansukhlal Kanasagara- General Practitioner,"{""primary"":""Dr. Asmit Mansukhlal Kanasagara- General Practitioner""}","{""primary"":""Dr. Asmit Mansukhlal Kanasagara- General Practitioner""}","Navjeevan Clinic, Vrundawan Nagar","Navjeevan Clinic, Vrundawan Nagar",Jamjodhpur,Gujarat,0.77,0.77
full_agreement,08f42d9d6e29845403d6b6ed118b2c53,RichFeel Trichology Center,RichFeel Trichology Center,"{""primary"":""RichFeel Trichology Center""}","{""primary"":""RichFeel Trichology Center""}","Shop No. U-1/2, Ascon City Building, Opp. Maheshwari Bhavan, City Light Road","Shop No. U 1, Ascon City Building, 2, City Light Road",,,0.9895134099616858,0.77
full_agreement,08f44137216d105403e8dcb957543e94,Norman Love Confections,Norman Love Confections,"{""primary"":""Norman Love Confections""}","{""primary"":""Norman Love Confections""}",11380 Lindbergh Blvd,11380 Lindbergh Blvd,Fort Myers,FL,0.997898979043525,0.77
full_agreement,08f4413c5b45680503c7a24935699dee,BB Locksmith,BB Locksmith,"{""primary"":""BB Locksmith""}","{""primary"":""BB Locksmith""}",3956 Tamiami Trl N,3956 Tamiami Trl N,Naples,FL,0.997898979043525,0.77
full_agreement,08f441a8318ad6f00367d8b78a6d5f98,BP,BP,"{""primary"":""BP""}","{""primary"":""BP""}",4125 16th St N,4125 16th Street North,St Petersburg,FL,0.9523423423423424,0.77
full_agreement,08f441a85563288d036586a4365fde15,Advanced Senior Solutions,Advanced Senior Solutions,"{""primary"":""Advanced Senior Solutions""}","{""primary"":""Advanced Senior Solutions""}",600 Bypass Dr,600 Bypass Dr Ste. 118,Clearwater,FL,0.9918379237288135,0.77
full_agreement,08f441a8d0b0cc0d034bf48c64a6f1f2,Jackson Hewitt Tax Service,Jackson Hewitt Tax Service,"{""primary"":""Jackson Hewitt Tax Service""}","{""primary"":""Jackson Hewitt Tax Service""}",8019 W Hillsborough Ave,8019 W Hillsborough Ave,Tampa,FL,0.77,0.77
full_agreement,08f441ab99d1e40903520592b478eaee,Delicae Gourmet,Delicae Gourmet,"{""primary"":""Delicae Gourmet""}","{""primary"":""Delicae Gourmet""}",1310 E Lake Dr,1310 E Lake Dr,Tarpon Springs,FL,0.9895134099616858,0.77
full_agreement,08f441ac6c684a2b03149e412abd3737,Alto Construction,Alto Construction,"{""primary"":""Alto Construction""}","{""primary"":""Alto Construction""}",4102 Causeway Blvd,4102 Causeway Blvd,Tampa,FL,0.9918379237288135,0.77
full_agreement,08f441e430da53ac03a387b92a35000d,Florida State Inspectors,Florida State Inspectors,"{""primary"":""Florida State Inspectors""}","{""primary"":""Florida State Inspectors""}",5011 Grobe St,5011 Grobe St,,,0.9763829787234043,0.77
full_agreement,08f4440c1249b85c03b5b634418623f6,"Carl Sidney Luikart, MD","Carl Sidney Luikart, MD","{""primary"":""Carl Sidney Luikart, MD""}","{""primary"":""Carl Sidney Luikart, MD""}",7777 Hennessy Blvd Ste 1000,7777 Hennessy Blvd Ste 1000,Baton Rouge,LA,0.77,0.77
full_agreement,08f4440ca382a59803895546c2d4bd4f,Rejuvime Medical,Rejuvime Medical,"{""primary"":""Rejuvime Medical""}","{""primary"":""Rejuvime Medical""}",4313 Bluebonnet Blvd,4313 Bluebonnet Blvd Ste B,Baton Rouge,LA,0.9802857142857143,0.77
full_agreement,08f444368874d68d03dc2aee6a283b4e,Super 8 by Wyndham Vicksburg,Super 8 by Wyndham Vicksburg,"{""primary"":""Super 8 by Wyndham Vicksburg""}","{""primary"":""Super 8 by Wyndham Vicksburg""}",4127 I-20 Frontage Rd,4127 Interstate 20 Frontage Rd,Vicksburg,MS,0.9962614185921548,0.77
full_agreement,08f44436a92919ae03192e5f0a743fa3,Days Inn & Suites by Wyndham Vicksburg,Days Inn & Suites by Wyndham Vicksburg,"{""primary"":""Days Inn & Suites by Wyndham Vicksburg""}","{""primary"":""Days Inn & Suites by Wyndham Vicksburg""}",90 Warrenton Rd,90 Warrenton Rd,Vicksburg,MS,0.77,0.77
