id,conflict_class,alt_raw,base_raw,alt_digits,base_digits,alt_digit_len,base_digit_len,alt_confidence,base_confidence,confidence_diff,confidence_gap,higher_confidence_side
08f44ced69d6e2010308e0e270d2fde2,alt_only,"[""+16784340475""]",,16784340475,"",11,0,0.9979,0.77,0.2279,0.2279,alt
08f30cbaa316200e0343d4c48c677352,alt_only,"[""+819034357800""]",,819034357800,"",12,0,0.9828,0.77,0.2128,0.2128,alt
08f1f8ed954e688903d9d4d15500e46f,alt_only,"[""+41442116644""]",,41442116644,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f2661b7016194a032ee6510609a5e5,alt_only,"[""+13175475439""]",,13175475439,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f30d9ac062e59103f685900bca2f2b,alt_only,"[""+81924020288""]",,81924020288,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f438c2a4b2834003ef6d541c6af5db,alt_only,"[""+96824477777""]",,96824477777,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f4823ad167532903b45bc53a70221e,alt_only,"[""+528000046633""]",,528000046633,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08f4995b9e3aba6c03df20d5c7b3d01a,alt_only,"[""+525557150401""]",,525557150401,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08f4c89a415a309a03d56d43c499f24e,alt_only,"[""+18099496191""]",,18099496191,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f64a0904d64d0c03a2773fc104703e,alt_only,"[""+6635523773""]",,6635523773,"",10,0,0.7928,1.0,-0.2072,0.2072,base
08f64a5d44030394034f454700680878,alt_only,"[""+66867633080""]",,66867633080,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f64b37869566c0036e39b102e83ed5,alt_only,"[""+66899975481""]",,66899975481,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08f650690e0cc419036cab2001c8694f,alt_only,"[""+6095081011""]",,6095081011,"",10,0,0.7928,1.0,-0.2072,0.2072,base
08f6515334b4ed5a0366cedaf4c122fb,alt_only,"[""+601115287557""]",,601115287557,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08f651b06c358dad03681f7c98304824,alt_only,"[""+6675211240""]",,6675211240,"",10,0,0.7928,1.0,-0.2072,0.2072,base
08f800882b2f106303ab5fa027239c0c,alt_only,"[""+559832168100""]",,559832168100,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08f8c100e5135acc0320b9849219dda3,alt_only,"[""+62251123456""]",,62251123456,"",11,0,0.7928,1.0,-0.2072,0.2072,base
08fa810624c4cc1d0386f9634f0386e6,alt_only,"[""+551124076576""]",,551124076576,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08fa83120535a54b03b3b2e5732f7962,alt_only,"[""+554131580340""]",,554131580340,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08fa83136c8188e903b91a34b4994790,alt_only,"[""+554132213600""]",,554132213600,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08fa831a5528368003cb9d0c38305d24,alt_only,"[""+554135157446""]",,554135157446,"",12,0,0.7928,1.0,-0.2072,0.2072,base
08fa835d5a864a5903509e47f410055d,alt_only,"[""+554799822116""]",,554799822116,"",12,0,0.7928,1.0,-0.2072,0.2072,base
